"NMD" "NMD_derived" "Longest" "APPRIS_imputed" "Pervasive_imputed" "Longest_length" "Percentage_seq_imputed" "Domain_INFO" "Domain_percentage_imputed" "MaxPerDomain_imputed" "number_of_100_damaged_imputed" "Domain_matched_imputed" "Site_INFO" "Site_percentage_imputed" "MaxPerSite_imputed" "number_of_100_damaged_Site_imputed" "Site_matched_imputed" "IImunity" "Antiviral" "ISG" "OMIMrecessive" "pRDG" "RVIS" "group"
"35" "0" "0" "1" "1" "1" "936" "16.9871794871795" "1" "14.8026315789474" "100" "2" "1" "0" "16.9871794871795" "100" "1" "0" "0" "0" "0" "0" "0.089605916" "0.308721233" "Non_Pathogenic_stop"
"36" "0" "0" "1" "1" "1" "915" "58.7978142076503" "1" "58.7978142076503" "100" "5" "1" "0" "58.7978142076503" "100" "1" "0" "0" "0" "0" "0" "NaN" "1.063778722" "Non_Pathogenic_stop"
"37" "0" "0" "1" "1" "1" "930" "94.1935483870968" "1" "94.1558441558442" "100" "9" "1" "0" "94.1935483870968" "100" "1" "0" "0" "0" "0" "0" "NaN" "0.108486928" "Non_Pathogenic_stop"
"38" "0" "0" "1" "1" "1" "963" "46.7289719626168" "1" "46.5346534653465" "100" "4" "1" "0" "46.7289719626168" "100" "1" "0" "0" "0" "0" "0" "NaN" "1.728918179" "Non_Pathogenic_stop"
"39" "0" "0" "1" "1" "1" "933" "26.0450160771704" "1" "24.0924092409241" "100" "3" "1" "0" "26.0450160771704" "100" "1" "0" "0" "0" "0" "0" "NaN" "-0.336073593" "Non_Pathogenic_stop"
"40" "0" "0" "1" "1" "1" "927" "60.5177993527508" "1" "61.1842105263158" "100" "6" "1" "0" "60.5177993527508" "100" "1" "0" "0" "0" "0" "0" "NaN" "1.15197334" "Non_Pathogenic_stop"
"41" "1" "0" "1" "1" "1" "801" "73.7827715355805" "1" "100" "100" "1" "0" "0" "73.7827715355805" "100" "1" "0" "0" "0" "0" "0" "0.048813714" "0.21689899" "Non_Pathogenic_stop"
"42" "1" "0" "1" "1" "1" "2004" "63.6726546906188" "1" "100" "100" "4" "1" "1" "100" "100" "7" "0" "0" "0" "0" "0" "0.278269279" "-1.023168368" "Non_Pathogenic_stop"
"43" "1" "0" "1" "1" "1" "1623" "82.3166974738139" "1" "100" "100" "3" "0" "0" "82.3166974738139" "100" "1" "0" "0" "0" "0" "0" "NaN" "1.84828222" "Non_Pathogenic_stop"
"44" "1" "0" "1" "1" "1" "2319" "60.1552393272963" "1" "100" "100" "1" "0" "1" "100" "100" "8" "0" "1" "0" "1" "0" "0.575493162" "-0.483123186" "Non_Pathogenic_stop"
"45" "0" "0" "1" "1" "1" "924" "79.3290043290043" "1" "79.2494481236203" "100" "8" "1" "0" "79.3290043290043" "100" "1" "0" "0" "0" "0" "0" "NaN" "2.175443036" "Non_Pathogenic_stop"
"46" "1" "0" "1" "1" "1" "2118" "51.1331444759207" "1" "49.5614035087719" "97.8260869565217" "0" "1" "1" "100" "100" "2" "0" "0" "0" "0" "0" "0.101392387" "-0.20947578" "Non_Pathogenic_stop"
"47" "0" "0" "1" "1" "1" "507" "95.8579881656805" "1" "95.7831325301205" "95.7831325301205" "0" "1" "0" "95.8579881656805" "100" "1" "0" "0" "0" "0" "0" "NaN" "2.949344402" "Non_Pathogenic_stop"
"48" "0" "0" "1" "1" "1" "2628" "2.43531202435312" "0" "2.43531202435312" "100" "1" "1" "0" "2.43531202435312" "100" "1" "0" "0" "0" "0" "0" "0.102793125" "-0.279250919" "Non_Pathogenic_stop"
"49" "1" "0" "1" "1" "1" "2889" "26.2028383523711" "0" "26.2028383523711" "100" "1" "1" "0" "26.2028383523711" "100" "1" "0" "0" "0" "0" "0" "0.152827316" "-0.576764155" "Non_Pathogenic_stop"
"50" "1" "0" "1" "1" "1" "3300" "95.2727272727273" "1" "100" "100" "28" "0" "0" "95.2727272727273" "100" "1" "0" "0" "0" "0" "0" "0.20972634" "-0.080831688" "Non_Pathogenic_stop"
"51" "1" "0" "1" "1" "1" "3300" "92.030303030303" "1" "100" "100" "28" "0" "0" "92.030303030303" "100" "1" "0" "0" "0" "0" "0" "0.20972634" "-0.080831688" "Non_Pathogenic_stop"
"52" "1" "0" "1" "1" "1" "3300" "92.030303030303" "1" "100" "100" "28" "0" "0" "92.030303030303" "100" "1" "0" "0" "0" "0" "0" "0.20972634" "-0.080831688" "Non_Pathogenic_stop"
"53" "0" "0" "1" "1" "1" "7146" "4.46403582423734" "0" "4.46403582423734" "100" "1" "1" "0" "4.46403582423734" "100" "1" "0" "0" "0" "0" "1" "0.209854112" "-1.067586275" "Non_Pathogenic_stop"
"54" "0" "0" "1" "1" "1" "7146" "4.46403582423734" "0" "4.46403582423734" "100" "1" "1" "0" "4.46403582423734" "100" "1" "0" "0" "0" "0" "1" "0.209854112" "-1.067586275" "Non_Pathogenic_stop"
"55" "0" "0" "1" "1" "1" "927" "19.3096008629989" "1" "16.0493827160494" "16.0493827160494" "0" "1" "0" "19.3096008629989" "100" "1" "0" "0" "0" "0" "0" "NaN" "0.262810045" "Non_Pathogenic_stop"
"56" "0" "0" "1" "1" "1" "927" "3.02049622437972" "0" "3.02049622437972" "100" "1" "1" "0" "3.02049622437972" "100" "1" "0" "0" "0" "0" "0" "NaN" "2.638661101" "Non_Pathogenic_stop"
"57" "1" "0" "1" "1" "1" "1779" "66.8353007307476" "1" "66.8353007307476" "100" "18" "1" "1" "63.6363636363636" "100" "7" "0" "1" "0" "0" "0" "0.728908538" "-0.427900189" "Non_Pathogenic_stop"
"58" "1" "0" "1" "1" "1" "3261" "22.4471021159154" "1" "22.4471021159154" "100" "2" "1" "1" "66.6666666666667" "100" "2" "0" "1" "0" "1" "0" "NaN" "-0.255386946" "Non_Pathogenic_stop"
"59" "1" "0" "1" "1" "1" "741" "84.6153846153846" "1" "100" "100" "3" "0" "1" "100" "100" "1" "0" "0" "0" "0" "0" "NaN" "1.352234299" "Non_Pathogenic_stop"
"60" "0" "0" "1" "1" "1" "1446" "49.8616874135546" "0" "49.8616874135546" "100" "1" "1" "0" "49.8616874135546" "100" "1" "0" "0" "0" "0" "0" "NaN" "NaN" "Non_Pathogenic_stop"
"61" "1" "0" "1" "1" "1" "2646" "95.3892668178382" "1" "100" "100" "18" "0" "0" "95.3892668178382" "100" "1" "0" "0" "0" "0" "0" "0.138185462" "-0.418800956" "Non_Pathogenic_stop"
"62" "1" "0" "1" "1" "1" "759" "81.1594202898551" "1" "83.1309041835358" "100" "1" "1" "0" "81.1594202898551" "100" "1" "0" "0" "0" "0" "0" "NaN" "-0.135838822" "Non_Pathogenic_stop"
"63" "1" "0" "1" "1" "1" "2559" "38.5697538100821" "1" "100" "100" "3" "0" "1" "100" "100" "2" "0" "0" "0" "0" "0" "0.105973343" "1.207001692" "Non_Pathogenic_stop"
"64" "1" "0" "1" "1" "1" "5940" "68.7037037037037" "1" "70.5753184014054" "100" "12" "1" "1" "100" "100" "1" "0" "0" "0" "0" "1" "0.254510507" "-1.749006627" "Non_Pathogenic_stop"
"65" "1" "0" "1" "1" "1" "1479" "55.0371872887086" "1" "100" "100" "5" "0" "0" "55.0371872887086" "100" "1" "0" "0" "0" "0" "0" "0.159212786" "0.75875178" "Non_Pathogenic_stop"
"66" "1" "0" "1" "1" "1" "1479" "59.4320486815416" "1" "100" "100" "5" "1" "0" "59.4320486815416" "100" "1" "0" "0" "0" "0" "0" "0.159212786" "0.75875178" "Non_Pathogenic_stop"
"67" "1" "0" "1" "1" "1" "594" "98.989898989899" "1" "100" "100" "3" "0" "0" "98.989898989899" "100" "1" "0" "0" "0" "0" "0" "0.098434011" "0.014844891" "Non_Pathogenic_stop"
"68" "1" "0" "1" "1" "1" "990" "63.030303030303" "1" "65.6410256410256" "100" "3" "1" "1" "100" "100" "1" "0" "0" "0" "0" "0" "0.121216112" "NaN" "Non_Pathogenic_stop"
"69" "0" "0" "1" "1" "1" "936" "80.448717948718" "1" "79.9342105263158" "100" "9" "1" "0" "80.448717948718" "100" "1" "0" "0" "0" "0" "0" "NaN" "1.616843854" "Non_Pathogenic_stop"
"70" "0" "0" "1" "1" "1" "732" "8.60655737704918" "1" "7.06521739130435" "7.06521739130435" "0" "1" "0" "8.60655737704918" "100" "1" "0" "0" "0" "0" "0" "0.109441409" "1.106059595" "Non_Pathogenic_stop"
"71" "1" "0" "1" "1" "1" "2457" "75.2136752136752" "1" "100" "100" "10" "1" "1" "100" "100" "1" "0" "0" "0" "0" "0" "0.122465709" "-0.749505784" "Non_Pathogenic_stop"
"72" "1" "0" "1" "1" "1" "1740" "38.6206896551724" "1" "41.2244897959184" "100" "1" "1" "1" "50" "100" "4" "0" "0" "0" "0" "0" "NaN" "-0.464712395" "Non_Pathogenic_stop"
"73" "1" "0" "1" "1" "1" "7146" "96.4035824237336" "1" "100" "100" "5" "0" "1" "95.4545454545455" "100" "14" "0" "0" "0" "0" "1" "0.209854112" "-1.067586275" "Non_Pathogenic_stop"
"74" "1" "0" "1" "1" "1" "4446" "59.7165991902834" "1" "100" "100" "7" "1" "1" "100" "100" "3" "0" "0" "0" "0" "0" "NaN" "0.262615756" "Non_Pathogenic_stop"
"75" "0" "0" "1" "1" "1" "2082" "51.104707012488" "1" "67.8260869565217" "100" "1" "0" "1" "27.7777777777778" "100" "3" "1" "0" "0" "0" "0" "0.427005106" "1.515690125" "Non_Pathogenic_stop"
"76" "1" "0" "1" "1" "1" "1020" "24.1176470588235" "1" "25.5451713395639" "25.5451713395639" "0" "1" "1" "12.5" "100" "1" "0" "0" "0" "0" "0" "0.322848094" "0.773521534" "Non_Pathogenic_stop"
"77" "0" "0" "1" "1" "1" "3558" "11.2984822934233" "0" "11.2984822934233" "100" "1" "1" "0" "11.2984822934233" "100" "1" "0" "0" "0" "0" "1" "0.493430105" "0.547404288" "Non_Pathogenic_stop"
"78" "0" "0" "1" "1" "1" "3558" "9.02192242833052" "0" "9.02192242833052" "100" "1" "1" "0" "9.02192242833052" "100" "1" "0" "0" "0" "0" "1" "0.493430105" "0.547404288" "Non_Pathogenic_stop"
"79" "1" "0" "1" "1" "1" "5136" "12.9867601246106" "1" "17.7440808725725" "100" "2" "1" "0" "12.9867601246106" "100" "1" "0" "0" "0" "0" "0" "NaN" "-0.643198486" "Non_Pathogenic_stop"
"80" "1" "0" "1" "1" "1" "1237" "93.6944219886823" "0" "93.6944219886823" "100" "1" "1" "1" "100" "100" "8" "0" "0" "0" "0" "0" "NaN" "0.839664339" "Non_Pathogenic_stop"
"81" "0" "0" "1" "1" "1" "2484" "0.442834138486312" "0" "0.442834138486312" "100" "1" "1" "0" "0.442834138486312" "100" "1" "0" "0" "0" "0" "0" "0.118763339" "-0.26629572" "Non_Pathogenic_stop"
"82" "0" "0" "1" "1" "1" "1344" "84.2261904761905" "1" "90.0318979266348" "100" "1" "1" "0" "84.2261904761905" "100" "1" "0" "0" "0" "0" "0" "0.103935346" "-0.025608647" "Non_Pathogenic_stop"
"83" "0" "0" "1" "1" "1" "1344" "36.3095238095238" "1" "38.6762360446571" "38.6762360446571" "0" "1" "0" "36.3095238095238" "100" "1" "0" "0" "0" "0" "0" "0.103935346" "-0.025608647" "Non_Pathogenic_stop"
"84" "1" "0" "1" "1" "1" "1530" "58.2352941176471" "1" "100" "100" "2" "0" "0" "58.2352941176471" "100" "1" "0" "1" "0" "0" "0" "0.10441905" "0.532823122" "Non_Pathogenic_stop"
"85" "1" "0" "1" "1" "1" "1257" "77.8042959427208" "1" "100" "100" "4" "0" "1" "100" "100" "1" "0" "0" "0" "0" "0" "NaN" "1.023320772" "Non_Pathogenic_stop"
"86" "0" "0" "1" "1" "1" "978" "28.6298568507157" "1" "28.9617486338798" "100" "3" "1" "0" "28.6298568507157" "100" "1" "0" "0" "0" "0" "0" "NaN" "NaN" "Non_Pathogenic_stop"
"87" "0" "0" "1" "1" "1" "510" "3.13725490196078" "1" "3.15581854043393" "3.15581854043393" "0" "1" "0" "3.13725490196078" "100" "1" "0" "0" "0" "0" "0" "0.10299756" "0.571462851" "Non_Pathogenic_stop"
"88" "1" "0" "1" "1" "1" "696" "31.8965517241379" "1" "28.042328042328" "100" "5" "1" "1" "7.40740740740741" "100" "2" "0" "0" "0" "0" "0" "0.090704012" "2.465816951" "Non_Pathogenic_stop"
"89" "1" "0" "1" "1" "1" "741" "80.8367071524966" "1" "100" "100" "7" "0" "1" "100" "100" "5" "0" "0" "0" "0" "0" "0.626487178" "0.196671391" "Non_Pathogenic_stop"
"90" "1" "0" "1" "1" "1" "1008" "46.1309523809524" "1" "100" "100" "1" "0" "0" "46.1309523809524" "100" "1" "0" "0" "0" "0" "0" "NaN" "0.52918614" "Non_Pathogenic_stop"
"91" "1" "0" "1" "1" "1" "1305" "53.7931034482759" "1" "100" "100" "3" "0" "0" "53.7931034482759" "100" "1" "0" "0" "0" "0" "0" "0.094552377" "2.778290809" "Non_Pathogenic_stop"
"92" "1" "0" "1" "1" "1" "2250" "18.8" "1" "19.7183098591549" "19.7183098591549" "0" "1" "0" "18.8" "100" "1" "0" "0" "0" "0" "0" "NaN" "NaN" "Non_Pathogenic_stop"
"93" "1" "0" "1" "1" "1" "2250" "33.4666666666667" "1" "35.2112676056338" "35.2112676056338" "0" "1" "0" "33.4666666666667" "100" "1" "0" "0" "0" "0" "0" "NaN" "NaN" "Non_Pathogenic_stop"
"94" "0" "0" "1" "1" "1" "939" "59.4249201277955" "1" "58.3606557377049" "100" "5" "1" "0" "59.4249201277955" "100" "1" "0" "0" "0" "0" "0" "0.081539579" "3.177250279" "Non_Pathogenic_stop"
"95" "0" "0" "1" "1" "1" "4926" "13.9464068209501" "0" "13.9464068209501" "100" "1" "1" "0" "13.9464068209501" "100" "1" "0" "0" "0" "0" "1" "0.139673964" "1.754582795" "Non_Pathogenic_stop"
"96" "1" "0" "1" "1" "1" "14100" "72.3475177304964" "1" "57.5133485888635" "100" "2" "1" "0" "72.3475177304964" "100" "1" "0" "0" "0" "0" "0" "0.081891205" "7.306469488" "Non_Pathogenic_stop"
"97" "0" "0" "1" "1" "1" "1260" "0.952380952380952" "0" "0.952380952380952" "100" "1" "1" "0" "0.952380952380952" "100" "1" "0" "0" "0" "0" "0" "0.084107484" "1.087645262" "Non_Pathogenic_stop"
"98" "1" "0" "1" "1" "1" "2295" "60.8714596949891" "1" "64.7721454173067" "100" "5" "1" "0" "60.8714596949891" "100" "1" "0" "0" "0" "0" "0" "0.766070597" "1.581840753" "Non_Pathogenic_stop"
"99" "1" "0" "1" "1" "1" "1998" "74.6746746746747" "1" "100" "100" "8" "0" "1" "100" "100" "3" "0" "0" "0" "0" "1" "0.155793486" "-1.041578376" "Non_Pathogenic_stop"
"100" "0" "0" "1" "1" "1" "3300" "5.06060606060606" "0" "5.06060606060606" "100" "1" "1" "0" "5.06060606060606" "100" "1" "0" "0" "0" "0" "0" "0.124375637" "1.478915028" "Non_Pathogenic_stop"
"101" "1" "0" "1" "1" "1" "315" "68.5714285714286" "0" "68.5714285714286" "100" "1" "1" "0" "68.5714285714286" "100" "1" "0" "0" "0" "0" "0" "NaN" "0.791937896" "Non_Pathogenic_stop"
"102" "1" "0" "1" "1" "1" "3390" "84.6902654867257" "1" "88.4" "100" "14" "0" "1" "100" "100" "1" "0" "1" "0" "0" "0" "0.514574251" "-0.891174372" "Non_Pathogenic_stop"
"103" "1" "0" "1" "1" "1" "3666" "42.1440261865794" "1" "44.3835616438356" "100" "2" "0" "1" "100" "100" "1" "0" "0" "0" "0" "0" "0.101886551" "NaN" "Non_Pathogenic_stop"
"104" "1" "0" "1" "1" "1" "3801" "44.1988950276243" "1" "100" "100" "2" "0" "1" "100" "100" "1" "0" "0" "0" "0" "0" "0.105938866" "NaN" "Non_Pathogenic_stop"
"105" "1" "0" "1" "1" "1" "1758" "50.2844141069397" "1" "55.1255940257977" "100" "1" "1" "1" "42.8571428571429" "100" "4" "0" "0" "0" "0" "0" "0.454813782" "1.289723716" "Non_Pathogenic_stop"
"106" "1" "0" "1" "1" "1" "2742" "36.2509117432531" "1" "100" "100" "4" "0" "1" "100" "100" "2" "0" "0" "0" "0" "0" "0.117705422" "NaN" "Non_Pathogenic_stop"
"107" "0" "0" "1" "1" "1" "936" "52.3504273504274" "1" "52.0697167755991" "100" "5" "1" "0" "52.3504273504274" "100" "1" "0" "0" "0" "0" "0" "NaN" "1.131742211" "Non_Pathogenic_stop"
"108" "1" "0" "1" "1" "1" "2112" "51.1837121212121" "1" "100" "100" "2" "0" "1" "100" "100" "5" "0" "0" "0" "0" "0" "0.125794741" "-0.338129542" "Non_Pathogenic_stop"
"109" "1" "0" "1" "1" "1" "4077" "24.6995339710571" "1" "100" "100" "5" "0" "0" "24.6995339710571" "100" "1" "0" "0" "0" "0" "0" "0.09094155" "1.111434312" "Non_Pathogenic_stop"
"110" "1" "0" "1" "1" "1" "1812" "69.9130434782609" "1" "100" "100" "3" "0" "1" "100" "100" "3" "0" "0" "0" "0" "0" "NaN" "1.806007038" "Non_Pathogenic_stop"
"111" "0" "0" "1" "1" "1" "726" "12.1212121212121" "0" "12.1212121212121" "100" "1" "1" "0" "12.1212121212121" "100" "1" "0" "1" "0" "0" "0" "0.072272659" "0.841481379" "Non_Pathogenic_stop"
"112" "0" "0" "1" "1" "1" "1179" "92.6208651399491" "1" "94.3786982248521" "94.3786982248521" "0" "1" "1" "100" "100" "2" "0" "0" "0" "0" "0" "0.073660266" "1.199707453" "Non_Pathogenic_stop"
"113" "1" "0" "1" "1" "1" "1368" "61.6228070175439" "1" "100" "100" "1" "0" "0" "61.6228070175439" "100" "1" "0" "0" "0" "0" "0" "NaN" "NaN" "Non_Pathogenic_stop"
"114" "0" "0" "1" "1" "1" "2442" "3.23505323505323" "0" "3.23505323505323" "100" "1" "1" "0" "3.23505323505323" "100" "1" "0" "0" "0" "0" "0" "0.122663543" "-1.080231599" "Non_Pathogenic_stop"
"115" "1" "0" "1" "0" "1" "1899" "75.7767245918905" "1" "75.9550561797753" "100" "3" "0" "0" "75.7767245918905" "100" "1" "0" "0" "0" "0" "0" "NaN" "-1.343026423" "Non_Pathogenic_stop"
"116" "0" "0" "1" "1" "1" "1233" "7.05596107055961" "1" "7.05596107055961" "7.05596107055961" "0" "1" "1" "8.33333333333333" "100" "1" "0" "0" "0" "0" "0" "0.267806906" "-0.773369631" "Non_Pathogenic_stop"
"117" "1" "0" "1" "1" "1" "1653" "78.8263762855414" "1" "84.7985347985348" "84.7985347985348" "0" "1" "1" "100" "100" "1" "0" "0" "0" "0" "0" "NaN" "0.569646743" "Non_Pathogenic_stop"
"118" "1" "0" "1" "1" "1" "564" "87.7659574468085" "0" "87.7659574468085" "100" "1" "1" "0" "87.7659574468085" "100" "1" "0" "0" "0" "0" "0" "0.026992171" "NaN" "Non_Pathogenic_stop"
"119" "1" "0" "1" "1" "1" "2490" "81.5261044176707" "1" "100" "100" "7" "0" "0" "81.5261044176707" "100" "1" "0" "1" "0" "0" "0" "0.098347231" "2.337125365" "Non_Pathogenic_stop"
"120" "1" "0" "1" "1" "1" "2256" "42.686170212766" "1" "100" "100" "9" "0" "0" "42.686170212766" "100" "1" "0" "0" "0" "0" "0" "NaN" "0.846940207" "Non_Pathogenic_stop"
"121" "0" "0" "1" "1" "1" "663" "19.7586726998492" "0" "19.7586726998492" "100" "1" "1" "0" "19.7586726998492" "100" "1" "0" "0" "0" "0" "0" "NaN" "1.26585432" "Non_Pathogenic_stop"
"122" "1" "0" "1" "1" "1" "1041" "70.8933717579251" "1" "80.9352517985612" "100" "1" "1" "1" "18.75" "100" "3" "0" "1" "0" "0" "0" "0.33997921" "0.108486928" "Non_Pathogenic_stop"
"123" "0" "0" "1" "1" "1" "936" "45.1923076923077" "1" "43.5215946843854" "100" "3" "1" "0" "45.1923076923077" "100" "1" "0" "0" "0" "0" "0" "0.084606922" "NaN" "Non_Pathogenic_stop"
